segment,object_code,object_name,country,parameter,date,value,source_file
Toktogul–BahriTojik,LNK,ЛНК,all,discharge,2022-08-01,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,all,discharge,2022-08-02,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,all,discharge,2022-08-03,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,all,discharge,2022-08-04,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,all,discharge,2022-08-05,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,all,discharge,2022-08-06,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,all,discharge,2022-08-07,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,all,discharge,2022-08-08,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,all,discharge,2022-08-09,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,all,discharge,2022-08-10,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,all,discharge,2022-08-12,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,all,discharge,2022-08-13,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,all,discharge,2022-08-14,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,all,discharge,2022-08-15,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,all,discharge,2022-08-16,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,all,discharge,2022-08-17,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,all,discharge,2022-08-18,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,all,discharge,2022-08-19,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,all,discharge,2022-08-20,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,all,discharge,2022-08-21,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,all,discharge,2022-08-22,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,all,discharge,2022-08-23,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,all,discharge,2022-08-24,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,all,discharge,2022-08-25,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,all,discharge,2022-08-26,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,all,discharge,2022-08-27,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,all,discharge,2022-08-28,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,all,discharge,2022-08-29,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,all,discharge,2022-08-30,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,all,discharge,2022-08-31,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Uzbekistan,discharge,2022-08-01,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Uzbekistan,discharge,2022-08-02,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Uzbekistan,discharge,2022-08-03,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Uzbekistan,discharge,2022-08-04,2.4,август 2022.xlsx
Toktogul–BahriTojik,LNK,ЛНК,Uzbekistan,discharge,2022-08-05,2.4,август 2022.xlsx
